ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Satisfaction Score,Churn Label,churn rate,active customers,churned customers,Revenue lost,Toal revenue lost,Tenure in groups,
810,Male,71,No,Yes,No,No,0,Q3,No,0,1,Offer E,Yes,11.51,No,Yes,DSL,21,No,No,No,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,46.3,4,No,,,,46.3,1979840,0-12 Months,
811,Male,71,No,Yes,No,No,0,Q3,No,0,55,No Offer,No,0,No,Yes,DSL,23,No,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,50.05,4,No,,,,2752.75,1979840,49+ Months,
812,Female,67,No,Yes,Yes,No,0,Q3,Yes,6,69,No Offer,Yes,34.55,No,Yes,Fiber Optic,19,Yes,Yes,No,No,No,Yes,No,Yes,One Year,No,Credit Card,87.3,3,No,,,,6023.7,1979840,49+ Months,
813,Male,80,No,Yes,Yes,No,0,Q3,Yes,1,33,No Offer,No,0,No,Yes,DSL,4,No,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,50,3,No,,,,1650,1979840,25-48 Months,
814,Male,75,No,Yes,Yes,No,0,Q3,Yes,8,37,No Offer,Yes,23.54,No,Yes,Fiber Optic,7,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,72.25,3,No,,,,2673.25,1979840,25-48 Months,
815,Female,67,No,Yes,Yes,Yes,2,Q3,Yes,1,62,No Offer,Yes,45.76,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Two Year,Yes,Credit Card,96.1,4,No,,,,5958.2,1979840,49+ Months,
816,Female,68,No,Yes,No,No,0,Q3,No,0,1,No Offer,Yes,17.6,No,Yes,Fiber Optic,2,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,71.25,4,No,,,,71.25,1979840,0-12 Months,
817,Male,75,No,Yes,No,No,0,Q3,No,0,72,No Offer,Yes,24.67,Yes,Yes,Fiber Optic,26,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,No,Bank Withdrawal,113.8,3,No,,,,8193.6,1979840,49+ Months,
818,Female,74,No,Yes,Yes,No,0,Q3,Yes,3,60,No Offer,Yes,27.68,Yes,Yes,Fiber Optic,26,No,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Credit Card,100.5,5,No,,,,6030,1979840,49+ Months,
819,Female,80,No,Yes,No,No,0,Q3,No,0,30,No Offer,Yes,41.93,Yes,Yes,Fiber Optic,21,No,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,104.1,4,No,,,,3123,1979840,25-48 Months,
820,Male,66,No,Yes,No,No,0,Q3,No,0,8,Offer E,Yes,41.85,No,Yes,Fiber Optic,5,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,69.7,4,No,,,,557.6,1979840,0-12 Months,
821,Male,79,No,Yes,No,No,0,Q3,No,0,71,Offer A,Yes,4.75,Yes,No,Fiber Optic,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,24.65,3,No,,,,1750.15,1979840,49+ Months,
822,Female,73,No,Yes,Yes,No,0,Q3,Yes,2,70,Offer A,Yes,15.9,No,No,Fiber Optic,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,19.55,3,No,,,,1368.5,1979840,49+ Months,
823,Male,74,No,Yes,Yes,No,0,Q3,Yes,4,49,No Offer,Yes,1.67,No,Yes,DSL,15,No,Yes,No,No,No,No,No,Yes,Two Year,No,Credit Card,49.8,3,No,,,,2440.2,1979840,49+ Months,
824,Female,69,No,Yes,Yes,Yes,1,Q3,Yes,9,24,No Offer,Yes,20.78,No,Yes,Fiber Optic,23,No,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,96.55,5,No,,,,2317.2,1979840,13-24 Months,
825,Male,71,No,Yes,No,No,0,Q3,No,0,11,No Offer,Yes,41.58,No,Yes,Fiber Optic,3,No,No,No,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,78.5,3,No,,,,863.5,1979840,0-12 Months,
826,Female,65,No,Yes,No,No,0,Q3,No,0,72,Offer A,Yes,26.87,Yes,Yes,Fiber Optic,20,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,108.1,5,No,,,,7783.2,1979840,49+ Months,
827,Female,73,No,Yes,Yes,No,0,Q3,Yes,3,12,No Offer,Yes,37.15,No,Yes,DSL,13,Yes,No,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,79.2,4,No,,,,950.4,1979840,0-12 Months,
828,Male,72,No,Yes,Yes,Yes,1,Q3,Yes,1,52,No Offer,Yes,7.04,Yes,Yes,DSL,22,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,80.85,3,No,,,,4204.2,1979840,49+ Months,
829,Female,71,No,Yes,No,No,0,Q3,No,0,18,No Offer,Yes,7.51,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,73.55,3,No,,,,1323.9,1979840,13-24 Months,
830,Male,74,No,Yes,Yes,Yes,2,Q3,Yes,3,50,No Offer,Yes,32.9,Yes,Yes,DSL,18,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,75.15,4,No,,,,3757.5,1979840,49+ Months,
831,Male,69,No,Yes,Yes,No,0,Q3,Yes,6,72,Offer A,Yes,30.3,Yes,Yes,Fiber Optic,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,112.9,3,No,,,,8128.8,1979840,49+ Months,
832,Male,76,No,Yes,Yes,No,0,Q3,No,0,64,No Offer,Yes,29.43,Yes,No,Fiber Optic,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.65,5,No,,,,1641.6,1979840,49+ Months,
833,Female,69,No,Yes,Yes,No,0,Q3,Yes,8,72,Offer A,Yes,7.85,Yes,Yes,Fiber Optic,20,Yes,Yes,No,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,106.85,4,No,,,,7693.2,1979840,49+ Months,
834,Female,73,No,Yes,No,No,0,Q3,No,0,7,No Offer,Yes,11.01,No,Yes,Cable,18,No,Yes,No,No,No,No,No,Yes,Two Year,Yes,Credit Card,51.3,4,No,,,,359.1,1979840,0-12 Months,
835,Female,67,No,Yes,Yes,No,0,Q3,Yes,1,52,No Offer,Yes,4.11,Yes,Yes,Fiber Optic,17,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,109.1,5,No,,,,5673.2,1979840,49+ Months,
836,Female,70,No,Yes,Yes,No,0,Q3,Yes,1,60,No Offer,Yes,4.06,Yes,Yes,Fiber Optic,11,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,116.05,3,No,,,,6963,1979840,49+ Months,
837,Male,79,No,Yes,Yes,No,0,Q3,Yes,4,67,Offer A,Yes,7.2,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Credit Card,94.65,4,No,,,,6341.55,1979840,49+ Months,
838,Male,69,No,Yes,No,No,0,Q3,No,0,1,Offer E,Yes,28.67,No,Yes,DSL,4,No,No,No,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,44,4,No,,,,44,1979840,0-12 Months,
839,Male,79,No,Yes,Yes,No,0,Q3,Yes,7,17,No Offer,Yes,46.44,Yes,Yes,Fiber Optic,13,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,94.8,3,No,,,,1611.6,1979840,13-24 Months,
840,Female,70,No,Yes,Yes,No,0,Q3,Yes,9,52,No Offer,Yes,27.74,Yes,Yes,Fiber Optic,18,No,Yes,Yes,No,Yes,Yes,No,No,One Year,Yes,Bank Withdrawal,106.5,5,No,,,,5538,1979840,49+ Months,
841,Female,70,No,Yes,No,No,0,Q3,No,0,8,Offer E,Yes,44.63,Yes,Yes,Fiber Optic,29,No,No,No,No,No,Yes,No,Yes,Two Year,No,Bank Withdrawal,85.2,4,No,,,,681.6,1979840,0-12 Months,
842,Male,79,No,Yes,Yes,No,0,Q3,Yes,5,16,No Offer,Yes,35.53,No,Yes,DSL,23,Yes,Yes,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,54.55,3,No,,,,872.8,1979840,13-24 Months,
843,Female,72,No,Yes,No,No,0,Q3,No,0,39,No Offer,Yes,10.03,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,99.75,3,No,,,,3890.25,1979840,25-48 Months,
844,Female,76,No,Yes,No,No,0,Q3,No,0,52,No Offer,Yes,11.01,Yes,Yes,Fiber Optic,18,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,No,Credit Card,108.1,4,No,,,,5621.2,1979840,49+ Months,
845,Male,70,No,Yes,Yes,No,0,Q3,Yes,1,72,Offer A,No,0,No,Yes,DSL,7,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card,64.95,3,No,,,,4676.4,1979840,49+ Months,
846,Male,70,No,Yes,Yes,Yes,1,Q3,Yes,1,68,Offer A,Yes,20.31,Yes,Yes,Fiber Optic,13,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,84.65,3,No,,,,5756.2,1979840,49+ Months,
847,Male,77,No,Yes,Yes,No,0,Q3,Yes,3,59,No Offer,No,0,No,Yes,Cable,6,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Credit Card,64.05,3,No,,,,3778.95,1979840,49+ Months,
848,Female,71,No,Yes,Yes,No,0,Q3,Yes,5,46,No Offer,Yes,21.46,Yes,Yes,Fiber Optic,15,No,No,No,Yes,Yes,Yes,No,Yes,One Year,No,Bank Withdrawal,100.25,5,No,,,,4611.5,1979840,25-48 Months,
849,Male,80,No,Yes,Yes,No,0,Q3,Yes,8,58,No Offer,Yes,31.11,Yes,Yes,Fiber Optic,4,No,Yes,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,98.9,3,No,,,,5736.2,1979840,49+ Months,
850,Male,75,No,Yes,No,No,0,Q3,No,0,11,No Offer,Yes,48.33,Yes,Yes,DSL,17,Yes,Yes,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,60.25,3,No,,,,662.75,1979840,0-12 Months,
851,Female,72,No,Yes,No,No,0,Q3,No,0,34,No Offer,No,0,No,Yes,DSL,28,No,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,56.25,3,No,,,,1912.5,1979840,25-48 Months,
852,Male,68,No,Yes,Yes,No,0,Q3,Yes,6,55,No Offer,Yes,42.9,Yes,Yes,Fiber Optic,27,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,74,5,No,,,,4070,1979840,49+ Months,
853,Male,73,No,Yes,No,No,0,Q3,No,0,9,Offer E,Yes,24.85,No,Yes,Fiber Optic,15,No,No,No,No,No,Yes,No,No,Two Year,Yes,Bank Withdrawal,79.55,5,No,,,,715.95,1979840,0-12 Months,
854,Female,79,No,Yes,Yes,Yes,1,Q3,Yes,5,14,No Offer,Yes,14.39,Yes,Yes,Fiber Optic,30,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,95.8,3,No,,,,1341.2,1979840,13-24 Months,
855,Male,72,No,Yes,Yes,No,0,Q3,Yes,2,34,No Offer,Yes,12.98,No,Yes,Fiber Optic,8,No,No,No,No,No,No,No,Yes,Two Year,No,Credit Card,71.55,3,No,,,,2432.7,1979840,25-48 Months,
856,Female,78,No,Yes,Yes,No,0,Q3,Yes,10,19,No Offer,Yes,19.57,Yes,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,94.95,5,No,,,,1804.05,1979840,13-24 Months,
857,Male,76,No,Yes,No,No,0,Q3,No,0,24,No Offer,Yes,46.13,Yes,Yes,Fiber Optic,23,No,Yes,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,80.5,4,No,,,,1932,1979840,13-24 Months,
858,Female,77,No,Yes,No,No,0,Q3,No,0,35,No Offer,No,0,No,Yes,Cable,26,No,No,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,39.85,4,No,,,,1394.75,1979840,25-48 Months,
859,Male,69,No,Yes,Yes,No,0,Q3,No,0,71,Offer A,Yes,22.19,Yes,No,Fiber Optic,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,24.85,5,No,,,,1764.35,1979840,49+ Months,
860,Male,71,No,Yes,Yes,No,0,Q3,Yes,8,7,No Offer,Yes,41.97,No,Yes,Fiber Optic,11,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,89,4,No,,,,623,1979840,0-12 Months,
861,Female,65,No,Yes,No,No,0,Q3,No,0,57,Offer B,No,0,No,Yes,DSL,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,55,4,No,,,,3135,1979840,49+ Months,
862,Female,78,No,Yes,No,No,0,Q3,No,0,72,Offer A,Yes,14.94,Yes,Yes,Fiber Optic,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,117.35,4,No,,,,8449.2,1979840,49+ Months,
863,Female,80,No,Yes,No,No,0,Q3,No,0,59,Offer B,Yes,25.57,Yes,Yes,Fiber Optic,5,Yes,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,89.75,3,No,,,,5295.25,1979840,49+ Months,
864,Male,71,No,Yes,No,No,0,Q3,No,0,2,Offer E,Yes,37.97,No,Yes,DSL,9,No,No,Yes,No,No,No,No,Yes,Two Year,No,Mailed Check,49.95,5,No,,,,99.9,1979840,0-12 Months,
865,Male,79,No,Yes,No,No,0,Q3,No,0,32,No Offer,Yes,25.89,No,No,Fiber Optic,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.8,4,No,,,,633.6,1979840,25-48 Months,
866,Male,78,No,Yes,No,No,0,Q3,No,0,12,No Offer,Yes,43.4,Yes,Yes,Fiber Optic,24,No,No,No,No,No,No,No,Yes,Two Year,Yes,Credit Card,73.3,4,No,,,,879.6,1979840,0-12 Months,
867,Female,80,No,Yes,No,No,0,Q3,No,0,45,Offer B,Yes,18.46,Yes,Yes,Cable,3,Yes,No,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,70.05,3,No,,,,3152.25,1979840,25-48 Months,
868,Male,67,No,Yes,No,No,0,Q3,No,0,5,Offer E,Yes,18.38,No,Yes,Fiber Optic,15,No,Yes,No,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.55,4,No,,,,427.75,1979840,0-12 Months,
869,Female,74,No,Yes,Yes,Yes,1,Q3,Yes,9,61,Offer B,Yes,39.31,Yes,Yes,DSL,10,No,No,Yes,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,65.2,4,No,,,,3977.2,1979840,49+ Months,
870,Male,73,No,Yes,Yes,No,0,Q3,Yes,8,14,No Offer,Yes,45.46,Yes,Yes,Fiber Optic,4,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,75.1,4,No,,,,1051.4,1979840,13-24 Months,
871,Female,75,No,Yes,Yes,No,0,Q3,Yes,2,72,Offer A,Yes,44.89,Yes,Yes,Fiber Optic,24,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card,115.75,3,No,,,,8334,1979840,49+ Months,
872,Female,80,No,Yes,Yes,No,0,Q3,Yes,10,56,Offer B,Yes,11.55,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,95.65,3,No,,,,5356.4,1979840,49+ Months,
873,Female,65,No,Yes,No,No,0,Q3,No,0,46,Offer B,Yes,41.17,Yes,Yes,Fiber Optic,30,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,104.45,3,No,,,,4804.7,1979840,25-48 Months,
874,Male,70,No,Yes,Yes,No,0,Q3,Yes,5,4,No Offer,Yes,6.03,No,Yes,Fiber Optic,8,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,70.2,5,No,,,,280.8,1979840,0-12 Months,
875,Female,80,No,Yes,No,No,0,Q3,No,0,32,Offer C,Yes,31.57,No,Yes,Fiber Optic,4,No,No,No,No,Yes,Yes,No,Yes,Two Year,No,Bank Withdrawal,90.95,4,No,,,,2910.4,1979840,25-48 Months,
876,Male,79,No,Yes,Yes,No,0,Q3,Yes,7,67,Offer A,Yes,42.07,No,Yes,Cable,12,Yes,Yes,No,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,60.95,3,No,,,,4083.65,1979840,49+ Months,
877,Female,68,No,Yes,No,No,0,Q3,No,0,29,Offer C,Yes,8.88,Yes,Yes,DSL,22,Yes,Yes,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,58.55,3,No,,,,1697.95,1979840,25-48 Months,
878,Female,73,No,Yes,No,No,0,Q3,No,0,14,No Offer,Yes,7.34,Yes,Yes,Fiber Optic,3,No,No,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,80.35,4,No,,,,1124.9,1979840,13-24 Months,
879,Female,70,No,Yes,No,No,0,Q3,No,0,18,No Offer,Yes,25.7,No,Yes,Fiber Optic,23,No,No,Yes,No,No,Yes,No,No,Two Year,Yes,Bank Withdrawal,84.95,4,No,,,,1529.1,1979840,13-24 Months,
880,Female,77,No,Yes,No,No,0,Q3,No,0,72,Offer A,Yes,14.12,Yes,Yes,Fiber Optic,23,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,110.1,4,No,,,,7927.2,1979840,49+ Months,
881,Female,73,No,Yes,No,No,0,Q3,No,0,71,Offer A,Yes,34.36,Yes,Yes,Fiber Optic,13,No,Yes,No,No,Yes,Yes,No,Yes,Two Year,Yes,Credit Card,99.65,4,No,,,,7075.15,1979840,49+ Months,
882,Male,74,No,Yes,No,No,0,Q3,No,0,5,No Offer,No,0,No,Yes,DSL,4,No,No,Yes,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.4,5,No,,,,227,1979840,0-12 Months,
883,Female,78,No,Yes,No,No,0,Q3,No,0,52,Offer B,Yes,34,Yes,Yes,DSL,3,Yes,No,Yes,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,59.85,3,No,,,,3112.2,1979840,49+ Months,
884,Male,76,No,Yes,Yes,No,0,Q3,Yes,5,31,Offer C,Yes,46.06,Yes,Yes,Fiber Optic,18,Yes,No,No,No,Yes,No,No,Yes,Two Year,No,Bank Withdrawal,89.45,4,No,,,,2772.95,1979840,25-48 Months,
885,Male,66,No,Yes,Yes,Yes,2,Q3,Yes,6,24,Offer C,Yes,4.06,Yes,Yes,Fiber Optic,28,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,79.85,3,No,,,,1916.4,1979840,13-24 Months,
886,Male,65,No,Yes,Yes,No,0,Q3,Yes,9,36,Offer C,Yes,47.16,No,Yes,DSL,28,No,No,Yes,Yes,No,No,No,Yes,One Year,No,Credit Card,54.1,3,No,,,,1947.6,1979840,25-48 Months,
887,Female,65,No,Yes,No,No,0,Q3,No,0,4,No Offer,Yes,31.13,Yes,Yes,DSL,15,No,No,No,No,No,No,No,Yes,Two Year,No,Mailed Check,48.75,3,No,,,,195,1979840,0-12 Months,
888,Female,76,No,Yes,Yes,Yes,1,Q3,Yes,7,46,Offer B,Yes,20.42,Yes,Yes,Fiber Optic,16,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,110.2,3,No,,,,5069.2,1979840,25-48 Months,
889,Male,74,No,Yes,Yes,No,0,Q3,Yes,9,71,Offer A,No,0,No,Yes,DSL,19,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card,46.35,4,No,,,,3290.85,1979840,49+ Months,
890,Male,76,No,Yes,No,No,0,Q3,No,0,45,Offer B,Yes,15.65,Yes,Yes,Fiber Optic,18,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,93.9,4,No,,,,4225.5,1979840,25-48 Months,
891,Female,79,No,Yes,Yes,No,0,Q3,Yes,8,26,Offer C,Yes,18.66,Yes,Yes,Fiber Optic,11,No,No,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,98.1,4,No,,,,2550.6,1979840,25-48 Months,
892,Female,79,No,Yes,Yes,No,0,Q3,Yes,2,54,Offer B,Yes,43.71,Yes,Yes,Fiber Optic,12,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,115.6,3,No,,,,6242.4,1979840,49+ Months,
893,Male,76,No,Yes,Yes,No,0,Q3,Yes,10,60,Offer B,Yes,17.05,No,Yes,Fiber Optic,21,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,97.95,4,No,,,,5877,1979840,49+ Months,
894,Male,73,No,Yes,Yes,No,0,Q3,Yes,4,72,Offer A,Yes,33.68,Yes,Yes,DSL,10,No,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,77.35,4,No,,,,5569.2,1979840,49+ Months,
895,Female,79,No,Yes,No,No,0,Q3,No,0,70,Offer A,Yes,47.27,Yes,Yes,Cable,3,No,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,75.5,4,No,,,,5285,1979840,49+ Months,
896,Male,80,No,Yes,Yes,No,0,Q3,Yes,7,10,No Offer,Yes,25.13,No,Yes,Fiber Optic,30,Yes,No,No,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,75.3,4,No,,,,753,1979840,0-12 Months,
897,Male,74,No,Yes,No,No,0,Q3,No,0,9,No Offer,Yes,7.11,No,Yes,DSL,12,No,No,No,Yes,No,No,No,Yes,Two Year,No,Mailed Check,49.2,4,No,,,,442.8,1979840,0-12 Months,
898,Female,68,No,Yes,Yes,No,0,Q3,Yes,2,32,Offer C,Yes,2.17,Yes,Yes,Fiber Optic,11,No,No,Yes,No,No,No,No,Yes,Two Year,No,Mailed Check,79.3,3,No,,,,2537.6,1979840,25-48 Months,
899,Female,70,No,Yes,Yes,No,0,Q3,Yes,7,72,Offer A,Yes,18.15,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Credit Card,105.75,5,No,,,,7614,1979840,49+ Months,
900,Female,70,No,Yes,Yes,No,0,Q3,Yes,8,62,Offer B,Yes,22.74,Yes,Yes,Fiber Optic,18,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,104.85,3,No,,,,6500.7,1979840,49+ Months,
901,Male,71,No,Yes,No,No,0,Q3,No,0,69,Offer A,Yes,13.36,Yes,Yes,Cable,10,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Credit Card,74.1,3,No,,,,5112.9,1979840,49+ Months,
902,Female,80,No,Yes,No,No,0,Q3,No,0,57,Offer B,Yes,36.89,Yes,Yes,Fiber Optic,17,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Credit Card,101.3,4,No,,,,5774.1,1979840,49+ Months,
903,Male,80,No,Yes,No,No,0,Q3,No,0,65,Offer B,Yes,18.23,No,Yes,Fiber Optic,3,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,99.1,4,No,,,,6441.5,1979840,49+ Months,
904,Male,80,No,Yes,No,No,0,Q3,No,0,4,No Offer,Yes,19,No,Yes,Fiber Optic,17,No,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,94.75,4,No,,,,379,1979840,0-12 Months,
905,Male,73,No,Yes,Yes,No,0,Q3,Yes,5,69,No Offer,Yes,49.91,Yes,Yes,Fiber Optic,13,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,95.35,3,No,,,,6579.15,1979840,49+ Months,
906,Female,72,No,Yes,No,No,0,Q3,No,0,8,No Offer,Yes,2.18,No,Yes,Fiber Optic,13,No,No,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,74.05,3,No,,,,592.4,1979840,0-12 Months,
907,Female,74,No,Yes,No,No,0,Q3,No,0,63,Offer B,Yes,41.8,Yes,Yes,Fiber Optic,16,No,No,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,89.6,4,No,,,,5644.8,1979840,49+ Months,
908,Male,69,No,Yes,Yes,No,0,Q3,Yes,10,71,No Offer,Yes,11.35,No,Yes,DSL,24,Yes,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,71,3,No,,,,5041,1979840,49+ Months,
909,Male,65,No,Yes,No,No,0,Q3,No,0,26,Offer C,Yes,25.04,Yes,Yes,Fiber Optic,9,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,93.6,5,No,,,,2433.6,1979840,25-48 Months,
910,Male,73,No,Yes,No,No,0,Q3,No,0,18,Offer D,Yes,47.34,Yes,Yes,DSL,7,Yes,Yes,No,No,No,No,No,Yes,Two Year,Yes,Credit Card,58.4,4,No,,,,1051.2,1979840,13-24 Months,
911,Female,66,No,Yes,No,No,0,Q3,No,0,72,No Offer,Yes,31.31,Yes,Yes,Fiber Optic,18,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,107.4,4,No,,,,7732.8,1979840,49+ Months,
912,Female,68,No,Yes,Yes,No,0,Q3,Yes,10,70,No Offer,Yes,38.5,Yes,Yes,Fiber Optic,25,Yes,No,No,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,90.85,4,No,,,,6359.5,1979840,49+ Months,
913,Male,75,No,Yes,No,No,0,Q3,No,0,21,Offer D,Yes,24.91,Yes,Yes,Fiber Optic,17,No,Yes,Yes,No,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,104.35,5,No,,,,2191.35,1979840,13-24 Months,
914,Male,72,No,Yes,No,No,0,Q3,No,0,54,No Offer,No,0,No,Yes,DSL,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,55.45,3,No,,,,2994.3,1979840,49+ Months,
915,Female,69,No,Yes,No,No,0,Q3,No,0,56,No Offer,Yes,46.67,Yes,Yes,Fiber Optic,18,Yes,Yes,No,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,96.85,3,No,,,,5423.6,1979840,49+ Months,
916,Male,67,No,Yes,No,No,0,Q3,No,0,64,No Offer,Yes,10.07,Yes,Yes,Fiber Optic,26,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,102.1,5,No,,,,6534.4,1979840,49+ Months,
917,Male,68,No,Yes,No,No,0,Q3,No,0,31,Offer C,Yes,15.35,Yes,Yes,Fiber Optic,10,No,No,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,96.6,5,No,,,,2994.6,1979840,25-48 Months,
